Sample Location,Decision Unit,Sample Type,Sample Depth (feet bgs),Sample ID,Sample Date,Chemical,Concentration,Detection
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Antimony,0.801,J
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Arsenic,6.24,NA
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Chromium,37.4,NA
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Copper,180,NA
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Lead,74.8,NA
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Mercury,0.0696,J
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Nickel,27.1,NA
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Selenium,0.514,U
West Parcel,DU-1,ISM,0-1,DU-1 (0-1),44762,Zinc,151,NA
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Antimony,0.712,J
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Arsenic,5.41,NA
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Chromium,41.3,NA
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Copper,64.6,NA
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Lead,321,NA
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Mercury,0.0863,NA
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Nickel,30.9,NA
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Selenium,0.516,U
West Parcel,DU-1,ISM,1-2,DU-1 (1-2),44762,Zinc,140,NA
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Antimony,0.529,U
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Arsenic,5.79,NA
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Chromium,29.5,NA
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Copper,69.5,NA
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Lead,57.5,NA
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Mercury,0.0813,J
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Nickel,25,NA
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Selenium,0.529,U
West Parcel,DU-1,ISM,2-3,DU-1 (2-3),44762,Zinc,179,NA
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Antimony,0.603,J
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Arsenic,5.41,NA
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Chromium,21.5,NA
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Copper,119,NA
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Lead,96.2,NA
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Mercury,0.0731,J
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Nickel,18.9,NA
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Selenium,0.505,U
West Parcel,DU-2,ISM,0-1,DU-2 (0-1),44774,Zinc,99.4,NA
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Antimony,0.515,U
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Arsenic,5.36,NA
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Chromium,22,NA
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Copper,170,NA
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Lead,118,NA
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Mercury,0.124,NA
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Nickel,16.4,NA
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Selenium,0.515,U
West Parcel,DU-2,ISM,1-2,DU-2 (1-2),44774,Zinc,88.8,NA
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Antimony,0.495,U
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Arsenic,5.21,NA
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Chromium,15.5,NA
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Copper,41.9,NA
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Lead,24.4,NA
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Mercury,0.0607,J
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Nickel,14.7,NA
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Selenium,0.495,U
West Parcel,DU-2,ISM,2-3,DU-2 (2-3),44774,Zinc,78,NA
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Antimony,0.547,U
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Arsenic,6.87,NA
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Chromium,16.2,NA
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Copper,26.8,NA
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Lead,20.1,NA
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Mercury,0.0438,U
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Nickel,16.3,NA
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Selenium,0.547,U
West Parcel,DU-3,ISM,0-1,DU-3 (0-1),44776,Zinc,80.4,NA
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Antimony,0.497,U
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Arsenic,6.65,NA
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Chromium,16.5,NA
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Copper,25.8,NA
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Lead,15.8,NA
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Mercury,0.0455,J
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Nickel,17.1,NA
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Selenium,0.497,U
West Parcel,DU-3,ISM,1-2,DU-3 (1-2),44776,Zinc,72.2,NA
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Antimony,0.536,U
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Arsenic,6.65,NA
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Chromium,15.7,NA
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Copper,21.6,NA
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Lead,13.5,NA
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Mercury,0.0497,J
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Nickel,16,NA
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Selenium,0.536,U
West Parcel,DU-3,ISM,2-3,DU-3 (2-3),44776,Zinc,64.7,NA
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Antimony,0.565,U
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Arsenic,6.57,NA
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Chromium,16.3,NA
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Copper,29.1,NA
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Lead,23.7,NA
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Mercury,0.0746,J
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Nickel,23.9,NA
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Selenium,0.565,U
West Parcel,DU-4,ISM,0-1,DU-4 (0-1),44777,Zinc,89.4,NA
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Antimony,0.515,U
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Arsenic,6.87,NA
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Chromium,16.3,NA
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Copper,26.6,NA
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Lead,23.9,NA
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Mercury,0.0596,J
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Nickel,24.6,NA
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Selenium,0.515,U
West Parcel,DU-4,ISM,1-2,DU-4 (1-2),44777,Zinc,79.4,NA
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Antimony,0.502,U
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Arsenic,7.63,NA
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Chromium,18.4,NA
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Copper,34,NA
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Lead,45.1,NA
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Mercury,0.076,J
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Nickel,22.4,NA
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Selenium,0.502,U
West Parcel,DU-4,ISM,2-3,DU-4 (2-3),44777,Zinc,115,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1)A,44764,Antimony,0.992,J-
West Parcel,DU-5,ISM,0-1,DU-5 (0-1)A,44764,Arsenic,8.89,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1)A,44764,Chromium,52.3,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1)A,44764,Copper,344,NA
West Parcel,DU-5,ISM,0-1,DU-5 (0-1)A,44764,Lead,62.1,J
